Place,Competitor,DOB,Unnamed: 3,Score,Event List
1,Malaika MIHAMBO,03 FEB 1994,GER,1449,Long Jump
2,Maryna BEKH-ROMANCHUK,18 JUL 1995,UKR,1370,Long Jump [Long Jump ind.]
3,Ese BRUME,20 JAN 1996,NGR,1342,Long Jump [Long Jump ind.]
4,Brittney REESE,09 SEP 1986,USA,1297,Long Jump
5,Abigail IROZURU,03 JAN 1990,GBR,1283,Long Jump
6,Nastassia MIRONCHYK-IVANOVA,13 APR 1989,BLR,1281,Long Jump
7,Ivana ŠPANOVIĆ,10 MAY 1990,SRB,1266,Long Jump
8,Yelena SOKOLOVA,23 JUL 1986,RUS,1261,Long Jump
9,Alina ROTARU,05 JUN 1993,ROU,1255,Long Jump
10,Katarina JOHNSON-THOMPSON,09 JAN 1993,GBR,1252,Long Jump [Long Jump ind.]
11,Lorraine UGEN,22 AUG 1991,GBR,1249,Long Jump [Long Jump ind.]
12,Brooke STRATTON,12 JUL 1993,AUS,1244,Long Jump
13,Shara PROCTOR,16 SEP 1988,GBR,1238,Long Jump
14,Sha'keela SAUNDERS,18 DEC 1993,USA,1231,Long Jump
15,Anasztázia NGUYEN,09 JAN 1993,HUN,1225,Long Jump [Long Jump ind.]
16,Eliane MARTINS,26 MAY 1986,BRA,1222,Long Jump [Long Jump ind.]
17,Tissanna HICKLING,07 JAN 1998,JAM,1212,Long Jump
18,Quanesha BURKS,15 MAR 1995,USA,1209,Long Jump [Long Jump ind.]
19,Jazmin SAWYERS,21 MAY 1994,GBR,1205,Long Jump [Long Jump ind.]
20,Chanice PORTER,25 MAY 1994,JAM,1202,Long Jump [Long Jump ind.]
21,Khaddi SAGNIA,20 APR 1994,SWE,1196,Long Jump [Long Jump ind.]
22,Éloyse LESUEUR-AYMONIN,15 JUL 1988,FRA,1193,Long Jump [Long Jump ind.]
23,Evelise VEIGA,03 MAR 1996,POR,1193,Long Jump
24,Hilary KPATCHA,05 MAY 1998,FRA,1187,Long Jump
25,Florentina Costina IUSCO,08 APR 1996,ROU,1183,Long Jump [Long Jump ind.]
26,Ksenija BALTA,01 NOV 1986,EST,1177,Long Jump [Long Jump ind.]
27,Kate HALL,12 JAN 1997,USA,1172,Long Jump [Long Jump ind.]
28,Jasmine TODD,23 DEC 1993,USA,1166,Long Jump [Long Jump ind.]
29,Fatima DIAME,22 SEP 1996,ESP,1165,Long Jump [Long Jump ind.]
30,Chantel MALONE,02 DEC 1991,IVB,1162,Long Jump
31,Petra FARKAS,30 APR 1999,HUN,1159,Long Jump [Long Jump ind.]
32,Milica GARDAŠEVIC,28 AUG 1998,SRB,1156,Long Jump [Long Jump ind.]
33,Taika KOILAHTI,04 DEC 1998,FIN,1155,Long Jump
34,Tilde JOHANSSON,05 JAN 2001,SWE,1152,Long Jump [Long Jump ind.]
